#
#	Japanese NetHack Copyright (c) Issei Numata 1994 
#	JNetHack may be freely redistributed.  See license for details. 
#
#	English -> Japanese monster table
#
player:			あなた:
kitten:			小猫:
housecat:		家猫:
jaguar:			ジャガー:
large cat:		大きな猫:
tiger:			虎:
# 追加 by Ooi Takefumi
lynx:			大山猫:
panther:		ヒョウ:
werepanther:		ヒョウ人間:
caterwaul:		わめき猫:
weretiger:		虎人間:
sabre-toothed cat:	剣歯猫:
kamadan:		カマダン:
displacer beast:	ディスプレイサービースト:
hellcat:		ヘルキャット:
#
#	gremlins
#
gremlin:		グレムリン:
gargoyle:		ガーゴイル:
winged gargoyle:	羽のあるガーゴイル:
# 追加 by Ooi Takefumi
jermlaine:		ジャームライン:
galltrit:		ガルトリット:
#
#	humanoids
#
hobbit:			ホビット:
dwarf:			ドワーフ:
bugbear:		バグベアー:
dwarf lord:		ドワーフの貴族:
dwarf king:		ドワーフの王:
mind flayer:		マインドフレア:
# 追加 by Ooi Takefumi	
dwarf thief:		ドワーフの盗賊:
gnoll:			ノール:
duergar:		ダーガー:
master mind flayer:	マスターマインドフレア:
#
#	imps & other minor demons/devils
#
manes:			亡霊:
homunculus:		ホムンクルス:
imp:			インプ:
lemure:			レムレース:
quasit:			クアシト:
tengu:			天狗:
# 追加 by Ooi Takefumi
dretch:			ドレッチ:
larva:			ラルヴァ:
rutterkin:		ルッターキン:
nupperibo:		のっぺらぼう:
blood imp:		ブロッドインプ:
#
#	jellies 
#
blue jelly:		青色ゼリー:
spotted jelly:		まだらゼリー:
ochre jelly:		黄土色ゼリー:
# 追加 by Ooi Takefumi
clear jelly:		透明ゼリー:
red jelly:		赤色ゼリー:
orange jelly:		オレンジゼリー:
black jelly:		黒色ゼリー:
#
#	kobolds 
#
kobold:			コボルド:
large kobold:		大きなコボルド:
kobold lord:		コボルドの貴族:
kobold shaman:		コボルドの呪術師:
# 追加 by Ooi Takefumi
swamp kobold:		沼コボルト:
rock kobold:		岩コボルト:
kobold wizard:		コボルトの魔法使い:
kobold warrior:		コボルトの戦士:
Kroo the Kobold King:	コボルトの王「Kroo」:
#
#	leprechauns
#
leprechaun:		レプラコーン:
# 追加 by Ooi Takefumi
leprechaun wizard:	レプラコーンの魔法使い:
brownie:		ブラウニー:
quickling:		クイックリング:
pixie:			ピクシー:
#
#	mimics
#
small mimic:		小さなミミック:
large mimic:		大きなミミック:
giant mimic:		巨大なミミック:
#
#	nymphs
#
wood nymph:		木のニンフ:
water nymph:		水のニンフ:
mountain nymph:		山のニンフ:
# 追加 by Ooi Takefumi
Aphrodite:		アフロディテ:
#
#	orcs
#
goblin:			ゴブリン:
hobgoblin:		ホブゴブリン:
orc:			オーク:
hill orc:		丘のオーク:
Mordor orc:		モルドールのオーク:
Uruk-hai:		ウルク・ハイ:
orc shaman:		オークの呪術師:
orc-captain:		オークの隊長:
# 追加 by Ooi Takefumi
war orc:		兵隊オーク:
great orc:		グレートオーク:
Grund the Orc King:	オークの王「Grund」:
snow orc:		雪のオーク:
demon orc:		デーモンオーク:
#
#	 piercers
#
rock piercer:		岩喰い:
iron piercer:		鉄喰い:
# 追加 by Ooi Takefumi
glass piercer:		ガラス喰い:
roper:			ローパー:
#
#	quadrupeds (generic)
#
rothe:			ロゼ:
mumak:			ムーマク:
leocrotta:		レオクロッタ:
wumpus:			ワンパス:
titanothere:		チタノゼア:
baluchitherium:		バルキテリウム:
# 追加 by Ooi Takefumi
giant badger:		巨大アナグマ:
scramper:		スクランパー:
squealer:		スクウィーラー:
mangler:		マングラー:
mastodon:		マストドン:
Jumbo the Elephant:	特大巨ゾウ:
juggernaut:		ジャガーノート:
catoblepas:		カトブレパス:
#
#	rodents 	
#
sewer rat:		ドブネズミ:
giant rat:		巨大ネズミ:
rabid rat:		兇暴ネズミ:
rat:			ねずみ:
wererat:		ねずみ人間:
rock mole:		岩もぐら:
# 追加 by Ooi Tkakefumi
rabbit:			野ウサギ:
black rat:		黒ネズミ:
rabid rabbit:		兇暴ウサギ:
pack rat:		こそ泥ネズミ:
hellrat:		ヘルラット:
the Rat King:		ネズミの王:
#
#	spiders and scorpions
#
cave spider:		洞窟グモ:
giant spider:		巨大グモ:
scorpion:		サソリ:
# 追加 by Ooi Takefumi
centipede:		ムカデ:
recluse spider:		隠れグモ:
barking spider:		ほえるクモ:
carrion crawler:	キャリオン・クローラー:
nickelpede:		ニッケルさそり:
giant scorpion:		巨大サソリ:
Girtab:			「ガータブ」:
Shelob:			「シェロブ」:
phase spider:		多相グモ:
werespider:		蜘蛛人間:
# 追加 by Kihara Tomoyasu
spider:			クモ:
#
#	trappers, lurkers, &c.	
#
lurker above:		ラーカー:
trapper:		トラッパー:
#
#	unicorns
#
white unicorn:		白ユニコーン:
gray unicorn:		灰色ユニコーン:
black unicorn:		黒ユニコーン:
# 追加 by Kihara Tomoyasu
nightmare:		ナイトメア:
#
#	vortices
#
fog cloud:		霧の曇:
dust vortex:		ほこりの渦:
ice vortex:		氷の渦:
energy vortex:		エネルギーの渦:
steam vortex:		蒸気の渦:
fire vortex:		炎の渦:
#
#	worms
#
baby long worm:		ロングワームの子供:
baby purple worm:	紫ワームの子供:
long worm:		ロングワーム:
purple worm:		紫ワーム:
# 追加 by Ooi Takefumi
dung worm:		糞ワーム:
acid worm:		酸のワーム:
bloodworm:		ブロッドワーム:
tunnel worm:		トンネルワーム:
rot worm:		ロットワーム:
#
#	Dummy monster needed for visual interface. 
#
long worm tail:		ロングワームの尻尾:
#
#	xan, &c.
#
grid bug:		グリッドバグ:
xan:			ザン:
# 追加 by Ooi Takefumi
arc bug:		アークバグ:
spark bug:		スパークバグ:
lightning bug:		電光バグ:
#
#	lights 
#
yellow light:		黄色い光:
black light:		黒い光:
# 追加 by Ooi Takefumi
red light:		赤い光:
blue light:		青い光:
#
#	zruty	
#
zruty:			ズルティ:
#
#	Angels and other lawful minions 
#
couatl:			コウアトル:
Aleax:			アレアックス:
Angel:			天使:
ki-rin:			麒麟:
Archon:			アルコン:
# 追加 by Ooi Takefumi
movanic deva:		モヴァニック・デヴァ:
monadic deva:		モナディック・デヴァ:
astral deva:		アストラル・デヴァ:
Planetar:		プラネター:
Solar:			ソーラー:
#
#	Bats	
#
bat:			こうもり:
giant bat:		巨大こうもり:
vampire bat:		吸血こうもり:
# 追加 by Ooi Takefumi
rhumbat:		ランバット:
athol:			アソル:
hellbat:		ヘルバット:
mongbat:		モンバット:
mobat:			モウバット:
harpy:			ハーピー:
#
#	Centaurs	
#
plains centaur:		草原のケンタウロス:
forest centaur:		森のケンタウロス:
mountain centaur:	山のケンタウロス:
#
#	Dragons
#
baby gray dragon:	灰色ドラゴンの子供:
baby red dragon:	赤色ドラゴンの子供:
baby white dragon:	白ドラゴンの子供:
baby orange dragon:	オレンジドラゴンの子供:
baby black dragon:	黒ドラゴンの子供:
baby blue dragon:	青ドラゴンの子供:
baby green dragon:	緑ドラゴンの子供:
baby yellow dragon:	黄色ドラゴンの子供:
gray dragon:		灰色ドラゴン:
red dragon:		赤色ドラゴン:
white dragon:		白ドラゴン:
orange dragon:		オレンジドラゴン:
black dragon:		黒ドラゴン:
blue dragon:		青ドラゴン:
green dragon:		緑ドラゴン:
yellow dragon:		黄色ドラゴン:
# 追加 by Ooi Takefumi
baby silver dragon:	銀色ドラゴンの子供:
baby shimmering dragon:	光竜の子供:
baby deep dragon:	暗黒竜の子供:
silver dragon:		銀色ドラゴン:
shimmering dragon:	光竜:
deep dragon:		暗黒竜:
wyvern:			ワイバーン:
hydra:			ヒドラ:
#
#	Elementals	
#
air elemental:		風の精:
fire elemental:		火の精:
earth elemental:	土の精:
water elemental:	水の精:
#
#	Fungi
#
brown mold:		茶色モールド:
yellow mold:		黄色モールド:
green mold:		緑モールド:
red mold:		赤色モールド:
shrieker:		シュリーカー:
violet fungus:		紫キノコ:
# 追加 by Ooi Takefumi
disgusting mold:	気持ち悪いモールド:
black mold:		黒色モールド:
#
#	Gnomes	
#
gnome:			ノーム:
gnome lord:		ノームの貴族:
gnomish wizard:		ノームの魔法使い:
gnome king:		ノームの王:
# 追加 by Ooi Takefumi
gnome thief:		ノームの盗賊:
deep gnome:		神秘的なノーム:
gnome warrior:		ノームの戦士:
Ruggo the Gnome King:	ノームの王「Ruggo」:
#
#	giant Humanoids
#
giant:			巨人:
stone giant:		岩石巨人:
hill giant:		丘の巨人:
fire giant:		炎の巨人:
frost giant:		吹雪の巨人:
ettin:			エティン:
titan:			タイタン:
minotaur:		ミノタウロス:
# 追加 by Ooi Takefumi
storm giant:		嵐の巨人:
the Largest Giant:	巨人の王族:
#
#	Invisible stalker
#
stalker:		ストーカー:
# 追加 by Ooi Takefumi
sneaker:		スニーカー:
squeaker:		スクウィーカー:
#
#	Jabberwock 
#
jabberwock:		ジャバウォック:	
# 追加 by Ooi Takefumi
vorpal jabberwock:	ボーパルジャバウォック:
#
#	Kops
#
Keystone Kop:		警備員:
Kop Sergeant:		巡査:
Kop Lieutenant:		巡査部長:
Kop Kaptain:		警部補:
#
#	Liches	
#
lich:			リッチ:
demilich:		デミリッチ:
master lich:		マスターリッチ:
# 追加 by Ooi Takefumi
arch-lich:		アーチリッチ:
Vecna:			ヴェクナ:
#
#	Mummies 
#
kobold mummy:		コボルドのミイラ:
gnome mummy:		ノームのミイラ:
orc mummy:		オークのミイラ:
elf mummy:		エルフのミイラ:
human mummy:		人間のミイラ:
ettin mummy:		エティンのミイラ:
giant mummy:		巨人のミイラ:
# 追加 by Ooi Takefumi
troll mummy:		トロルのミイラ:
#
#	Nagas
#
red naga hatchling:	赤色ナーガの雛:
black naga hatchling:	黒ナーガの雛:
golden naga hatchling:	金色ナーガの雛:
guardian naga hatchling:	番兵ナーガの雛:
red naga:		赤色ナーガ:
black naga:		黒ナーガ:
golden naga:		金色ナーガ:
guardian naga:		番兵ナーガ:
#
#	Ogres
#
ogre:			オーガ:
ogre lord:		オーガの君主:
ogre king:		オーガの王:
# 追加 by Ooi Takefumi
ogre mage:		オーガの魔術士:
shadow ogre:		影のオーガ:
#
#	Puddings 
#
gray ooze:		灰色ウーズ:
brown pudding:		茶色プリン:
black pudding:		黒プリン:
# 追加 by Ooi Takefumi
moldy pudding:		かびたプリン:
green slime:		緑スライム:
#
#	Quantum Mechanics	
#
quantum mechanic:	量子物理学者:
#
#	Rust Monster
#
rust monster:		錆の怪物:
#
#	Snakes
#
garter snake:		小さなヘビ:
snake:			ヘビ:
water moccasin:		水ヘビ:
pit viper:		穴ヘビ:
python:			ニシキヘビ:
cobra:			コブラ:
# 追加 by Ooi Takefumi
king cobra:		キングコブラ:
weresnake:		蛇人間:
asphynx:		アズフィンクス:
#
#	Trolls	
#
troll:			トロル:
ice troll:		氷のトロル:
rock troll:		岩のトロル:
water troll:		水のトロル:
Olog-hai:		オログハイ:
# 追加 by Ooi Takefumi
two-headed troll:	双頭のトロル:
black troll:		黒トロル:
#
#	Umber Hulk	
#
umber hulk:		アンバーハルク:
# 追加 by Ooi Takefumi
water hulk:		ウオーターハルク:
#
#	Vampires	
#
vampire:		吸血鬼:
vampire lord:		吸血鬼の貴族:
Vlad the Impaler:	吸血鬼ヴラド:
# 追加 by Ooi Takefumi
vampire mage:		吸血鬼の魔術士:
#
#	Wraiths 	
#
barrow wight:		バロウ・ワイト:
wraith:			レイス:
Nazgul:			ナズグル:
# 追加 by Kihara Tomoyasu
wight:			ワイト:
#
#	Xorn	
#
xorn:			ゾーン:
#
#	Yeti, Apes and other large beasts 
#
ape:			猿:
owlbear:		アウルベア:
yeti:			イエティ:
carnivorous ape:	人喰い猿:
sasquatch:		サスカッチ:
# 追加 by Ooi Takefumi
monkey:			モンキー:
#
#	Zombies 	
#
kobold zombie:		コボルドのゾンビ:
gnome zombie:		ノームのゾンビ:
orc zombie:		オークのゾンビ:
elf zombie:		エルフのゾンビ:
human zombie:		人間のゾンビ:
ettin zombie:		エティンのゾンビ:
giant zombie:		巨人のゾンビ:
skeleton:		骸骨:
# 追加 by Ooi Takefumi
ghoul:			グール:
ghast:			ガスト:
#
#	Golems
#
straw golem:		藁のゴーレム:
rope golem:		紐のゴーレム:
leather golem:		皮のゴーレム:
wood golem:		木のゴーレム:
flesh golem:		肉のゴーレム:
clay golem:		土のゴーレム:
stone golem:		岩のゴーレム:
iron golem:		鉄のゴーレム:
# 追加 by Ooi Takefumi
statue gargoyle:	ガーゴイルの彫像:
#
#	Humans		
#
human:			人間:
#werejackal:		ジャッカル人間:
#werewolf:		狼人間:
Woodland-elf:		森のエルフ:
Green-elf:		緑エルフ:
Grey-elf:		灰色エルフ:
elf-lord:		エルフの貴族:
Elvenking:		エルフの王:
nurse:			看護婦:
shopkeeper:		店主:
guard:			番兵:
Oracle:			賢者:
aligned priest:		僧侶:
high priest:		高僧:
#unarmored watchman:	丸腰の見張り:
#unarmored soldier:	丸腰の戦士:
soldier:		兵士:
sergeant:		下士官:
lieutenant:		副官:
captain:		指揮官:
watchman:		見張り:
watch captain:		見張りの隊長:
Medusa:			メデューサ:
Wizard of Yendor:	イェンダーの魔法使い:
Croesus:		クロイソス:
Charon:			カロン:
# 追加 by Ooi Takefumi
#wererat:		ねずみ人間:
jackalwere:		ジャッカル人:
gibberling:		おしゃべり猿:
grimlock:		グリムロック:
Woodland-elf:		森のエルフ:
drow:			デゥロウ:
mugger:			抱きつき強盗:
thief:			泥棒:
#werepanther:		ヒョウ人間:
#weretiger:		虎人間:
#weresnake:		蛇人間:
#werespider:		蜘蛛人間:
black marketeer:	闇の店の店主:
#
#	Ghosts		
#
ghost:			幽霊:
shade:			影:
water demon:		水の魔神:
horned devil:		角のある悪魔:
succubus:		サキュバス:
incubus:		インキュバス:
erinys:			イリニス:
barbed devil:		髭のある悪魔:
marilith:		マリリス:
vrock:			ヴァロック:
hezrou:			ヘズロウ:
bone devil:		骨の悪魔:
ice devil:		氷の悪魔:
nalfeshnee:		ナルフェシニ:	
pit fiend:		穴の悪霊:
balrog:			バルログ:
Juiblex:		ジョウビレックス:
Yeenoghu:		イーノグ:
Orcus:			オーケス:
Geryon:			ゲーリュオーン:
Dispater:		ディスペータ:
Baalzebub:		ベルゼブブ:
Asmodeus:		アスモデウス:
Demogorgon:		デモゴルゴン:
Death:			デス:
Pestilence:		ペスティレンス:
Famine:			フェミン:
mail daemon:		メイルデーモン:
djinni:			風のジン:
# 追加 by Ooi Takefumi
spined devil:		刺のある悪魔:
bearded devil:		顎髭のある悪魔:
bar-lgura:		バ・ルグラ:
chasme:			チャスム:
babau:			ババウ:
nabassu:		ナバス:
efreeti:		イフリート:
dao:			ダオ:
marid:			マリッド:
#
#	sea monsters	
#
giant eel:		巨大ウナギ:
electric eel:		電気ウナギ:
kraken:			クラーケン:
# 追加 by Ooi Takefumi
shark:			サメ:
giant crab:		巨大ガニ:
#
#	lizards 
#
newt:			イモリ:
gecko:			ヤモリ:
iguana:			イグアナ:
baby crocodile:		ワニの子供:
lizard:			トカゲ:
chameleon:		カメレオン:
crocodile:		ワニ:
salamander:		サラマンダー:
# 追加 by Ooi Takefumi
gila monster:		毒トカゲ:
rhaumbusun:		ランブサン:
basilisk:		バシリスク:
komodo dragon:		コモドドラゴン:
#
#	character classes
#
Archeologist:		考古学者:
Barbarian:		野蛮人:
Caveman:		洞窟人:
Cavewoman:		洞窟人:
Doppelganger:		ドッペルゲンガー:#
Elf:			エルフ:
Flame Mage:		炎の魔術師:#
Gnome:			ノーム:#
Healer:			薬師:
Ice Mage:		氷の魔術師:#
Jfighter:		戦士:
Knight:			騎士:
Lycanthrope:		ライカンスロープ:#
Monk:			修道士:#
Necromancer:		死人使い:#
Priest:			僧侶:
Priestess:		尼僧:
Rogue:			盗賊:
Samurai:		侍:
Tourist:		観光客:
Undead Slayer:		アンデットスレイヤー:#
Valkyrie:		ワルキューレ:
Wizard:			魔法使い:
archeologist:		考古学者:
barbarian:		野蛮人:
caveman:		洞窟人:
cavewoman:		洞窟人:
doppelganger:		ドッペルゲンガー:#
elf:			エルフ:
jfighter:		戦士:
flame mage:		炎の魔術師:#
healer:			薬師:
ice mage:		氷の魔術師:#
knight:			騎士:
lycanthrope:		ライカンスロープ:#
monk:			修道士:#
necromancer:		死人使い:#
priest:			僧侶:
priestess:		尼僧:
rogue:			盗賊:
samurai:		侍:
tourist:		観光客:
undead slayer:		アンデットスレイヤー:
valkyrie:		ワルキューレ:
wizard:			魔法使い:
#
#
# 追加 by Ooi Takefumi
#       food monster
#
bad egg:		バッドエッグ:
killer tripe ration:	殺人干し肉:
killer food ration:	殺人食糧:
#
#
# 追加 by Ooi Takefumi
#	coins monster
#
pile of killer coins:		殺人硬貨の山:
large pile of killer coins:	大きな殺人硬貨の山:
huge pile of killer coins:	巨大な殺人硬貨の山:
#
#	leader
#
Lord Carnarvon:		ケナーヴェン卿:
Pelias:			ピーリエス:
Shaman Karnov:		呪術師カルノフ:
Earendil:		エアレンディル:
Elwing:			エルウィング:
Princess of Moon:	プリンセス:
Hippocrates:		ヒポクラテス:
King Arthur:		アーサー王:
Arch Priest:		主席司祭:
Master of Thieves:	盗賊の頭領:	
Lord Sato:		大名佐藤:
Twoflower:		トゥフロア:
Norn:			ノルン:
Wizard of Balance:	調和の魔術師:	
# 追加 by Ooi Takefumi
Master Shifter:		変化師師範:
High Flame Mage:	炎の高位魔術師:
High Ice Mage:		氷の高位魔術師:
High Lycanthrope:	ハイライカンスロープ:
Grand Master:		グランドマスター:
the Dark Lord:		ダークロード:
Van Helsing:		ヴァンヘルシング:
lolth:			ロルス:
#
#	The nemesis monsters
#
Minion of Huhetotl:	フヘトトルの使い:
Thoth Amon:		トート・アモン:
Chromatic Dragon:	クロマティック・ドラゴン:
Goblin King:		ゴブリンの王:
Jedeite:		ジェダイト:
Cyclops:		サイクロプス:
Ixoth:			イクソス:
Nalzok:			ナルゾク:
Master Assassin:	暗殺者の頭領:
Ashikaga Takauji:	足利尊氏:
#Master of Thieves:	盗賊の頭領:	
Lord Surtur:		サーター卿:
Dark One:		暗きもの:
# 追加 by Ooi Takefumi
Transmuter:		静寂者:
Water Mage:		水の魔術士:
Lareth:			ラレス:
Earth Mage:		大地の魔術士:
Sir Lorimar:		ロリマー卿:
Master Kaen:		首領カエン:
Maugneshaagar:		マウグネッシャガー:
Lord Vlad the Impaler:	吸血鬼の王ウラド:
#
#	The "guards"
#
student:		学生:
chieftain:		首領:
neanderthal:		ネアンデルタール人:
High-elf:		ハイエルフ:
planetary fighter:	守護戦士:
attendant:		随行員:
page:			小姓:
acolyte:		侍者:
thug:			ちんぴら:
ronin:			浪人:
ninja:			忍者:
roshi:			浪士:
guide:			ガイド:
warrior:		戦士:
apprentice:		実習生:
man:			男:
woman:			女:
# 追加 by Ooi Takefumi
shifter:		変化師:
igniter:		点火者:
froster:		結霜者:
fiend:			悪霊:
intern:			医学研修生:
abbot:			大修道院長:
embalmer:		ミイラ製作者:
exterminator:		撲滅者:
#
#	Gods 
#
Quetzalcoatl:		ケツアルカトル:
Camaxtli:		カマキシトリ:
Huhetotl:		フヘトトル:
Mitra:			ミトラ:
Crom:			クロム:
Set:			セト:
Anu:			アヌ:
Ishtar:			イシュタル:
Anshar:			アンシャル:
Solonor Thelandira:	ソロノー・サランディア:
Aerdrie Faenya:		エアドレ・ファインヤ:
Erevan Ilesere:		エレヴァン・イレイザ:
Selene:			セレネ:
Helios:			ヘリオス:
Eos:			エオス:
Athena:			アテナ:
Hermes:			ヘルメス:
Poseidon:		ポセイドン:	
Lugh:			ルーフ:
Brigit:			ブリジット:
Manannan Mac Lir:	マナナン・マクリール:
Shan Lai Ching:		山雷精:
Chih Sung-tzu:		赤松子:
Huan Ti:		黄帝:
Issek:			イセック:
Mog:			モグ:
Kos:			コス:
Amaterasu Omikami:	天照大神:
Raijin:			雷神:
Susanowo:		須佐之男:
Blind Io:		ブラインド・イオ:
The Lady:		レディ:
Offler:			オフラー:
Tyr:			チュール:
Odin:			オーディン:
Loki:			ロキ:
Ptah:			プタハ:
Thoth:			トート:
Anhur:			アンフル:
# 追加 by Ooi Takefumi
Lolth:			ロルス:
Earth:			アース:
Fire:			ファイア:
Ash:			アッシュ:
Garl Glittergold:	ガール・グリッターゴールド:
Flandal Steelskin:	フランダル・スティールスキン:
Urdlen:			ウルドレン:
Air:			エアー:
Frost:			フロスト:
Smoke:			スモーク:
Eluvian:		エルヴィアン:
Moon:			ムーン:
Lycanthus:		ライカンスズ:
Seeker:			シーカー:
Osiris:			オシリス:
Seth:			セト:
Nharlotep:		ナーロテップ:
Zugguthobal:		ツグソーバル:
Gothuulbe:		ゴスールベ:
#
Moloch:			モーロック:
#
#	bogus monster
#
jumbo shrimp:		巨大甘エビ:
giant pigmy:		巨大ピグミー:
gnu:			ヌー:
killer penguin:		殺人ペンギン:
giant cockroach:	巨大ゴキブリ:
giant slug:		巨大ナメクジ:
maggot:			蛆虫:
pterodactyl:		プテラノドン:
tyrannosaurus rex:	ティラノザウルス:	
#basilisk:		バジリスク:
#beholder:		ビホルダー:
#nightmare:		ナイトメア:
#efreeti:		イフリート:
#marid:			マリッド:
rot grub:		赤蛆:
bookworm:		紙魚:
#doppelganger:		ドッペルベンガー:
shadow:			シャドウ:
hologram:		ホログラム:
jester:			道化師:
attorney:		弁護士:
sleazoid:		おちょうし者:
killer tomato:		殺人トマト:
amazon:			アマゾン:
robot:			ロボット:
battlemech:		バトルメック:
rhinovirus:		鼻風邪:
#harpy:			ハーピー:
lion-dog:		ライオン犬:
rat-ant:		ネズミ蟻:
#
#	misc
#
grue:			グルー:
Christmas-tree monster:	クリスマスツリーの怪物:
luck sucker:		厄病神:
paskald:		パスカルド:
#
#	Quendor (Zork, &c.)
#
brogmoid:		ブログモイド:
dornbeast:		ドルンビースト:
#
#	Moria
#
Ancient Multi-Hued Dragon:	老齢のマスタードラゴン:
Evil Iggy:			邪悪なイギー:	
#
#	Rogue
#
emu:		おおうずら:
kestrel:	おおはやぶさ:	
xeroc:		ものまねの怪物:
venus flytrap:	はえとりぐさ:
#
#	Wizardry
#
creeping coins:	クリーピングコイン:
#
#	Greek legend
#
#hydra:		ヒドラ:
siren:		セイレーン:
#
#	Monty Python
#
killer bunny:	兇悪ウサちゃん:	
#
#	The Princess Bride
#
rodent of unusual size:	異常な大きさのリスちゃん:
#
#	"Only you can prevent forest fires!"
#
Smokey the bear:	森林火災防止マークの熊ちゃん:
#
#	Discworld
#
Luggage:	ルッゲージ:
#
#	Lord of the Rings
#
Ent:		エント:
#
#	Xanth
#
tangle tree:	触手木:
#nickelpede:	ニッケルさそり:
wiggle:		ぴくぴく虫:
#
#	Lewis Carroll
#
white rabbit:	白兎:
snark:		スナーク:
#
#	Dr. Doolittle
#
pushmi-pullyu:	オシツオサレツ:
#
#	The Smurfs
#
smurf:		スマーフ:
#
#	Star Trek
#
tribble:	トリブル:
Klingon:	クリンゴン:
Borg:		ボーグ:
#
#	Star Wars
#
Ewok:		イオーク:
#
#	Tonari no Totoro
#
Totoro:		となりのトトロ:
#
#	Nausicaa
#
ohmu:		王蟲:
#
#	monster movies
#
youma:		妖魔:
#
Godzilla:	ゴジラ:
King Kong:	キングコング:
#
#	old L of SH
#
earthquake beast:	大ナマズ:
#
#	Robotech
#
Invid:		インビッド:
#
#	The Terminator
#
Terminator:	ターミネーター:
#
#	Bubblegum Crisis
#
boomer:		ブーマー:
#
#	Dr. Who ("Exterminate!")
#
Dalek:		ダレク:
#
#	HGttG
#
microscopic space fleet:		超微細宇宙船:
Ravenous Bugblatter Beast of Traal:	がつがつむしゃむしゃトラアル獣:
#
#	TMNT
#
teenage mutant ninja turtle:	激亀忍者:
#
#	Usagi Yojimbo
#
samurai rabbit:		侍兎:
#
#	Cerebus
#
aardvark:		ツチブタ:
#
#	Little Shop of Horrors
#
Audrey II:		オードリーII:
#
#	50's rock 'n' roll
#
witch doctor:		呪術医:
one-eyed one-horned flying purple people eater:	一目一手空飛ぶ紫人食類:
#
#	saccharine kiddy TV
#
Barney the dinosaur:	恐竜バニーちゃん:
#
#	これより下全て追加
#  by Ooi Takefumi
#
#	Angband
#
Azog the Orc King:	ウルク=ハイの大王『アゾグ』:
Morgoth:		冥王『モルゴス』:
#
#	Military
#
commando:	コマンドー:
green beret:	グリーンベレー:
sherman tank:	シャーマン戦車:
assault rifle:	アサルトライフル:
#
#	Star Wars
#
Jedi knight:	ジェダイの騎士:
tie fighter:	タイファイター:
protocol droid:	Ｃ３ＰＯ:
R2 unit:	Ｒ２−Ｄ２:
Emperor:	皇帝陛下:
#
#	Hitchhiker's guide
#
Vorlon:	ヴォーロン:
towel:	タオル:
#
#	drinks
#
keg:		ケグ:
Diet Pepsi:	ダイエットコーラ:
#
#	King Arthur
#
questing beast:	クエスティングビースト:
#
#	Predator
#
Predator:	プレデター:
#
#	misc
#
green light:			緑の光:
automobile:			自動車:
invisible Wizard of Yendor:	透明なイェンダーの魔法使い:
piece of yellowish-brown glass:	黄緑色のガラス:
wand of nothing:		何でもない杖:
ocean:				太平洋:
ballpoint pen:			ボールペン:
paper cut:			ペーパーナイフ:
#
#	people I know
#
Rune:	ルーン:
Gurk:	ガーク:
Yuval:	ユーヴァル:
